cycle;instance;nclasses;n1;n2;n3;n4;p1;p2;p3;p4;mojo;evals;tempo
7;jscatterplot 74C.odem;74;-1.0;1.5;-2.0;-1.5;3; 8; 1; 2;100.0;93;22970
9;udt-java 56C.odem;56;2.0;-0.5;2.0;2.0;9; 4; 9; 9;100.0;329;33914
0;gae_plugin_core 140C.odem;140;-2.5;0.0;-1.0;-0.5;0; 5; 3; 4;100.0;69;80270
3;jfluid-1.7.0 82C.odem;82;-0.5;0.0;-2.0;-2.0;4; 5; 1; 1;100.0;276;88138
7;javaocr 59C.odem;59;0.5;-0.5;1.5;1.0;6; 4; 8; 7;100.0;492;58169
7;servletapi-2.3 63C.odem;63;1.0;-0.5;1.0;0.5;7; 4; 7; 6;100.0;315;44228
4;servletapi-2.3 63C.odem;63;1.0;-0.5;2.5;1.0;7; 4; 10; 7;100.0;586;81319
5;servletapi-2.3 63C.odem;63;0.5;0.0;1.5;1.0;6; 5; 8; 7;100.0;616;82172
0;jxls-core 83C.odem;83;1.5;0.0;2.0;1.0;8; 5; 9; 7;100.0;311;99719
2;servletapi-2.3 63C.odem;63;2.5;0.0;2.0;1.5;10; 5; 9; 8;100.0;695;91922
6;jfluid-1.7.0 82C.odem;82;1.0;0.5;1.5;1.0;7; 6; 8; 7;100.0;213;60832
3;jxls-core 83C.odem;83;2.0;1.0;2.5;1.0;9; 7; 10; 7;100.0;377;120474
5;jscatterplot 74C.odem;74;-0.5;1.0;-2.0;-1.0;4; 7; 1; 3;100.0;569;125065
3;xmldom 119C.odem;119;1.0;0.0;1.0;1.0;7; 5; 7; 7;100.0;139;122114
0;jscatterplot 74C.odem;74;-1.5;2.5;-2.0;-1.5;2; 10; 1; 2;100.0;601;133563
0;javacc 154C.odem;154;2.5;0.5;1.0;1.0;10; 6; 7; 7;100.0;82;144051
0;javaocr 59C.odem;59;0.5;0.0;2.0;1.5;6; 5; 9; 8;100.0;1457;153971
1;servletapi-2.3 63C.odem;63;2.5;-1.0;1.0;0.5;10; 3; 7; 6;100.0;1108;142787
4;jdendogram 177C.odem;177;2.5;-0.5;1.0;1.0;10; 4; 7; 7;100.0;63;163478
6;pfcda_base 67C.odem;67;1.5;-0.5;2.5;1.0;8; 4; 10; 7;100.0;635;104848
7;jfluid-1.7.0 82C.odem;82;-2.0;0.5;-2.5;-2.5;1; 6; 0; 0;100.0;268;77864
9;jfluid-1.7.0 82C.odem;82;-1.5;0.0;-2.5;-1.5;2; 5; 0; 2;100.0;17;5084
8;servletapi-2.3 63C.odem;63;2.0;-0.5;1.5;0.5;9; 4; 8; 6;100.0;609;83892
1;jxls-core 83C.odem;83;0.5;0.0;1.5;1.0;6; 5; 8; 7;100.0;593;173286
2;jfluid-1.7.0 82C.odem;82;-1.0;-0.5;-2.0;-1.5;3; 4; 1; 2;100.0;599;180265
4;JPassword 96C.odem;96;1.5;-0.5;1.0;1.0;8; 4; 7; 7;100.0;381;179489
5;jfluid-1.7.0 82C.odem;82;2.0;0.0;2.5;2.0;9; 5; 10; 9;100.0;630;182212
0;pfcda_base 67C.odem;67;1.5;0.5;2.0;2.0;8; 6; 9; 9;100.0;1100;186917
8;jfluid-1.7.0 82C.odem;82;0.5;0.0;2.0;1.0;6; 5; 9; 7;100.0;324;89939
1;jfluid-1.7.0 82C.odem;82;2.0;0.0;0.5;1.0;9; 5; 6; 7;100.0;701;202031
4;javaocr 59C.odem;59;1.0;-1.0;1.0;0.5;7; 3; 7; 6;94.23;2000;209410
4;junit-3.8.1 100C.odem;100;1.0;0.0;2.5;1.0;7; 5; 10; 7;100.0;396;205291
9;javaocr 59C.odem;59;2.5;0.5;2.0;1.0;10; 6; 9; 7;100.0;1410;167630
6;jdendogram 177C.odem;177;2.5;-1.5;2.5;1.0;10; 2; 10; 7;100.0;66;171309
2;pfcda_base 67C.odem;67;1.5;-0.5;1.0;1.5;8; 4; 7; 8;100.0;1448;226868
3;junit-3.8.1 100C.odem;100;1.5;0.0;1.0;0.5;8; 5; 7; 6;100.0;487;235454
3;javaws 378C.odem;378;0.5;0.5;1.5;0.5;6; 6; 8; 6;100.0;11;243065
9;jscatterplot 74C.odem;74;2.0;0.0;1.5;0.5;9; 5; 8; 6;100.0;523;110399
1;junit-3.8.1 100C.odem;100;1.0;0.0;1.5;0.5;7; 5; 8; 6;100.0;444;240551
8;jscatterplot 74C.odem;74;1.5;-0.5;1.5;0.5;8; 4; 8; 6;100.0;750;177433
6;JPassword 96C.odem;96;2.0;-0.5;1.5;0.5;9; 4; 8; 6;100.0;133;65961
9;pfcda_base 67C.odem;67;1.5;0.5;2.0;1.0;8; 6; 9; 7;100.0;101;13923
4;jkaryoscope 136C.odem;136;2.5;0.0;2.0;1.0;10; 5; 9; 7;100.0;208;255561
8;javaocr 59C.odem;59;1.0;-0.5;1.5;1.0;7; 4; 8; 7;100.0;1777;217372
1;jscatterplot 74C.odem;74;-0.5;2.5;-2.0;-1.5;4; 10; 1; 2;100.0;1287;267692
0;poormans_2.3 304C.odem;304;2.5;-1.5;1.5;0.5;10; 2; 8; 6;100.0;20;261512
9;servletapi-2.3 63C.odem;63;0.5;0.0;2.0;1.0;6; 5; 9; 7;100.0;1336;178831
3;pfcda_base 67C.odem;67;1.5;0.5;1.0;1.5;8; 6; 7; 8;100.0;1850;282057
6;jxls-core 83C.odem;83;1.0;0.0;2.5;1.0;7; 5; 10; 7;100.0;570;171805
6;junit-3.8.1 100C.odem;100;0.5;-0.5;1.0;1.0;6; 4; 7; 7;100.0;150;64419
6;jscatterplot 74C.odem;74;-1.0;2.5;-2.5;-1.0;3; 10; 0; 3;100.0;1227;281808
0;tinytim 134C.odem;134;2.0;0.0;1.0;1.0;9; 5; 7; 7;100.0;260;294572
0;jml 270C.odem;270;2.5;0.0;2.0;2.0;10; 5; 9; 9;100.0;34;312922
7;pfcda_base 67C.odem;67;2.0;1.0;1.0;2.0;9; 7; 7; 9;100.0;998;162928
7;jdendogram 177C.odem;177;0.5;-1.0;2.5;1.5;6; 3; 10; 8;100.0;67;175883
7;jxls-core 83C.odem;83;2.0;0.5;2.5;1.0;9; 6; 10; 7;100.0;635;164174
0;JPassword 96C.odem;96;1.5;0.0;2.0;0.5;8; 5; 9; 6;100.0;755;348988
5;jxls-core 83C.odem;83;2.0;0.0;2.5;1.0;9; 5; 10; 7;100.0;842;252237
5;JPassword 96C.odem;96;2.0;0.5;2.0;1.0;9; 6; 9; 7;100.0;790;321704
5;pfcda_base 67C.odem;67;2.5;0.5;2.5;2.5;10; 6; 10; 10;91.53;2001;334039
3;JPassword 96C.odem;96;0.5;-0.5;2.0;1.5;6; 4; 9; 8;100.0;848;386260
5;xmldom 119C.odem;119;2.5;0.0;2.5;1.5;10; 5; 10; 8;100.0;370;295132
8;pfcda_base 67C.odem;67;1.5;-1.0;2.5;1.0;8; 3; 10; 7;100.0;1511;237919
2;jxls-core 83C.odem;83;2.0;0.5;1.5;0.5;9; 6; 8; 6;100.0;1577;435798
0;xmldom 119C.odem;119;2.5;0.0;2.0;1.5;10; 5; 9; 8;100.0;538;430992
3;javacc 154C.odem;154;2.0;0.0;2.5;2.0;9; 5; 10; 9;100.0;295;474772
3;gae_plugin_core 140C.odem;140;-1.5;-0.5;-2.0;-1.0;2; 4; 1; 3;100.0;376;482990
9;JPassword 96C.odem;96;0.5;0.0;1.0;1.0;6; 5; 7; 7;100.0;264;97582
2;tinytim 134C.odem;134;2.5;-0.5;2.5;1.0;10; 4; 10; 7;100.0;388;473550
9;jxls-core 83C.odem;83;1.5;-0.5;1.0;0.5;8; 4; 7; 6;100.0;611;156697
0;jkaryoscope 136C.odem;136;1.5;0.5;1.0;1.5;8; 6; 7; 8;100.0;436;513557
0;junit-3.8.1 100C.odem;100;2.5;0.0;1.0;0.5;10; 5; 7; 6;100.0;1022;510868
7;junit-3.8.1 100C.odem;100;2.0;0.0;1.5;1.0;9; 5; 8; 7;100.0;601;282701
5;gae_plugin_core 140C.odem;140;-0.5;0.0;-2.5;-1.0;4; 5; 0; 3;100.0;410;477441
1;gae_plugin_core 140C.odem;140;0.5;-0.5;1.0;1.0;6; 4; 7; 7;100.0;486;575831
4;gae_plugin_core 140C.odem;140;-1.0;0.5;-1.5;-1.0;3; 6; 2; 3;100.0;496;583815
2;gae_plugin_core 140C.odem;140;2.5;0.0;2.0;0.5;10; 5; 9; 6;100.0;459;589195
4;jxls-core 83C.odem;83;-2.5;0.0;-1.0;-1.5;0; 5; 3; 2;96.05;2001;584511
6;javacc 154C.odem;154;1.0;-0.5;2.0;1.5;7; 4; 9; 8;100.0;103;147356
2;Jung-graph 207C.odem;207;2.5;-0.5;2.0;1.0;10; 4; 9; 7;100.0;172;639333
8;JPassword 96C.odem;96;1.0;0.0;2.0;1.0;7; 5; 9; 7;100.0;733;301321
4;xmldom 119C.odem;119;1.0;0.5;2.0;1.5;7; 6; 9; 8;100.0;872;640587
1;notepad-full 299C.odem;299;2.5;0.5;2.5;1.0;10; 6; 10; 7;100.0;60;654775
5;jdendogram 177C.odem;177;1.5;1.0;2.5;1.5;8; 7; 10; 8;100.0;245;642164
3;jkaryoscope 136C.odem;136;2.5;0.5;2.0;1.0;10; 6; 9; 7;100.0;628;690502
2;jdendogram 177C.odem;177;2.5;-1.0;2.5;2.5;10; 3; 10; 10;100.0;300;695677
4;xmlapi 184C.odem;184;1.0;0.0;1.5;1.0;7; 5; 8; 7;100.0;249;684266
2;JPassword 96C.odem;96;2.0;0.5;1.5;0.5;9; 6; 8; 6;100.0;1828;717862
8;jxls-core 83C.odem;83;1.0;1.0;2.0;1.0;7; 7; 9; 7;100.0;1623;422980
6;xmldom 119C.odem;119;0.5;-0.5;2.5;1.0;6; 4; 10; 7;100.0;441;291170
7;gae_plugin_core 140C.odem;140;-0.5;0.5;-2.0;-1.0;4; 6; 1; 3;100.0;161;173622
9;junit-3.8.1 100C.odem;100;2.5;0.0;1.0;0.5;10; 5; 7; 6;100.0;526;229329
7;jkaryoscope 136C.odem;136;2.5;0.5;1.5;1.0;10; 6; 8; 7;100.0;61;58305
8;junit-3.8.1 100C.odem;100;2.5;0.0;1.0;0.5;10; 5; 7; 6;100.0;1109;455354
2;xmldom 119C.odem;119;1.0;0.0;2.0;1.0;7; 5; 9; 7;100.0;1118;752918
3;tinytim 134C.odem;134;2.5;-0.5;1.0;1.0;10; 4; 7; 7;100.0;664;756460
5;Jung-graph 207C.odem;207;2.0;0.5;1.0;0.5;9; 6; 7; 6;100.0;40;131970
8;xmldom 119C.odem;119;1.0;0.0;2.0;0.5;7; 5; 9; 6;100.0;227;141156
2;xmlapi 184C.odem;184;1.5;0.0;2.5;1.5;8; 5; 10; 8;100.0;320;784891
7;JPassword 96C.odem;96;0.5;0.0;2.0;0.5;6; 5; 9; 6;100.0;1453;573249
9;xmldom 119C.odem;119;2.0;0.5;1.5;1.5;9; 6; 8; 8;100.0;168;106238
3;JMetal 190C.odem;190;2.0;0.5;2.0;2.0;9; 6; 9; 9;100.0;301;827698
7;xmldom 119C.odem;119;1.5;0.0;2.0;0.5;8; 5; 9; 6;100.0;605;387103
2;junit-3.8.1 100C.odem;100;-2.5;-1.0;-1.0;-1.5;0; 3; 3; 2;93.68;2000;854978
4;tinytim 134C.odem;134;1.5;0.0;2.0;1.0;8; 5; 9; 7;100.0;842;857094
1;xmlapi 184C.odem;184;2.5;0.0;2.5;1.5;10; 5; 10; 8;100.0;337;879011
4;pdf_renderer 199C.odem;199;2.5;-1.0;2.0;1.0;10; 3; 9; 7;100.0;291;938905
1;jkaryoscope 136C.odem;136;1.5;-0.5;2.5;1.5;8; 4; 10; 8;100.0;838;953014
1;JMetal 190C.odem;190;1.5;1.0;2.0;2.0;8; 7; 9; 9;100.0;338;998437
4;JavaGeom 172C.odem;172;2.5;0.5;2.0;2.0;10; 6; 9; 9;100.0;463;1039350
0;log4j-1.2.16 308C.odem;308;2.0;-0.5;1.0;1.0;9; 4; 7; 7;100.0;97;1058570
5;junit-3.8.1 100C.odem;100;-2.5;1.0;-0.5;-1.5;0; 7; 4; 2;94.68;2001;857540
9;jdendogram 177C.odem;177;2.5;-1.0;2.5;1.5;10; 3; 10; 8;100.0;335;741106
8;tinytim 134C.odem;134;0.5;-0.5;2.0;1.0;6; 4; 9; 7;100.0;278;224020
6;xmlapi 184C.odem;184;2.5;0.0;1.0;0.5;10; 5; 7; 6;100.0;153;299565
5;jkaryoscope 136C.odem;136;2.0;0.0;1.5;2.0;9; 5; 8; 9;100.0;879;844563
6;jkaryoscope 136C.odem;136;0.5;0.5;2.5;1.0;6; 6; 10; 7;100.0;678;614118
4;javacc 154C.odem;154;2.0;0.0;2.5;1.0;9; 5; 10; 7;100.0;754;1156324
8;gae_plugin_core 140C.odem;140;2.0;0.0;2.0;1.0;9; 5; 9; 7;100.0;641;597763
7;tinytim 134C.odem;134;0.5;0.0;1.5;0.5;6; 5; 8; 6;100.0;523;433126
1;xmldom 119C.odem;119;-1.0;0.0;-2.5;-2.0;3; 5; 0; 1;95.54;2002;1200746
5;tinytim 134C.odem;134;0.5;0.0;2.0;1.0;6; 5; 9; 7;100.0;1107;965224
2;pfcda_swing 252C.odem;252;2.0;0.0;1.5;0.5;9; 5; 8; 6;100.0;217;1274801
3;pdf_renderer 199C.odem;199;2.5;1.0;1.0;2.5;10; 7; 7; 10;100.0;446;1282661
3;Jung-visualization 221C.odem;221;0.5;-0.5;2.5;1.0;6; 4; 10; 7;100.0;329;1297646
6;tinytim 134C.odem;134;1.5;0.0;2.5;0.5;8; 5; 10; 6;100.0;979;850255
8;jkaryoscope 136C.odem;136;1.5;-0.5;1.5;2.0;8; 4; 8; 9;100.0;743;609342
5;pfcda_swing 252C.odem;252;2.0;0.5;2.0;0.5;9; 6; 9; 6;100.0;26;119520
2;pdf_renderer 199C.odem;199;1.5;0.5;2.0;0.5;8; 6; 9; 6;100.0;458;1413737
0;JMetal 190C.odem;190;0.5;0.5;1.5;1.0;6; 6; 8; 7;100.0;556;1465909
4;JMetal 190C.odem;190;1.5;1.0;1.5;1.0;8; 7; 8; 7;100.0;561;1486521
1;tinytim 134C.odem;134;1.0;-0.5;1.0;1.0;7; 4; 7; 7;100.0;1705;1489815
6;JMetal 190C.odem;190;0.5;0.5;2.0;1.0;6; 6; 9; 7;100.0;246;520773
0;jconsole-1.7.0 220C.odem;220;0.5;0.5;1.5;1.0;6; 6; 8; 7;100.0;371;1524168
0;xmlapi 184C.odem;184;1.5;0.5;2.0;0.5;8; 6; 9; 6;100.0;663;1511286
7;xmlapi 184C.odem;184;0.5;0.0;2.5;1.0;6; 5; 10; 7;100.0;344;647172
1;Jung-graph 207C.odem;207;2.5;0.5;2.5;1.0;10; 6; 10; 7;100.0;498;1539774
6;gae_plugin_core 140C.odem;140;1.5;0.5;2.0;1.0;8; 6; 9; 7;100.0;1115;1067564
9;gae_plugin_core 140C.odem;140;0.5;-0.5;2.0;1.5;6; 4; 9; 8;100.0;1091;968941
0;jdendogram 177C.odem;177;1.5;-2.5;2.5;2.5;8; 0; 10; 10;100.0;723;1557577
0;Jung-visualization 221C.odem;221;2.5;0.5;2.5;2.0;10; 6; 10; 9;100.0;413;1566276
8;javacc 154C.odem;154;0.5;0.0;1.5;1.0;6; 5; 8; 7;100.0;440;504149
7;Jung-graph 207C.odem;207;0.5;0.0;2.0;1.0;6; 5; 9; 7;100.0;62;124811
8;jdendogram 177C.odem;177;1.5;0.5;2.0;1.5;8; 6; 9; 8;100.0;758;1433615
8;xmlapi 184C.odem;184;2.5;0.5;1.0;1.0;10; 6; 7; 7;100.0;375;624228
6;pfcda_swing 252C.odem;252;2.0;1.0;1.0;0.5;9; 7; 7; 6;100.0;76;352270
9;jkaryoscope 136C.odem;136;1.0;0.5;2.0;1.0;7; 6; 9; 7;100.0;1033;838503
4;dom4j-1.5.2 195C.odem;195;1.5;0.5;1.0;0.5;8; 6; 7; 6;100.0;688;1838576
