cycle;instance;nclasses;n1;n2;n3;n4;n5;n6;p1;p2;p3;p4;p5;p6;mojo;evals;tempo
1;jscatterplot 74C.odem;74;-2.0;0.5;-1.0;-0.5;1.5;0.0;1;6;3;4;8;5;98.61;3002;834383 ms
7;pfcda_base 67C.odem;67;2.5;0.5;0.0;2.0;1.0;-1.0;10;6;5;9;7;3;100.0;1084;210155 ms
5;javaocr 59C.odem;59;-0.5;2.5;-2.5;-2.0;-1.5;-1.0;4;10;0;1;2;3;92.31;3003;416335 ms
6;javaocr 59C.odem;59;0.0;-1.5;-2.5;1.0;0.5;1.5;5;2;0;7;6;8;94.23;3000;416911 ms
9;javaocr 59C.odem;59;2.5;1.0;1.0;-1.0;1.5;2.5;10;7;7;3;8;10;94.23;3001;417498 ms
8;javaocr 59C.odem;59;0.5;2.5;0.0;-2.5;-1.5;1.5;6;10;5;0;2;8;94.23;3002;423105 ms
1;jxls-core 83C.odem;83;1.0;0.0;0.0;1.0;0.5;-0.5;7;5;5;7;6;4;100.0;2461;927170 ms
5;JPassword 96C.odem;96;2.0;-0.5;-0.5;2.0;1.0;1.0;9;4;4;9;7;7;100.0;1449;806461 ms
2;jfluid-1.7.0 82C.odem;82;1.0;0.0;0.0;1.5;2.0;-0.5;7;5;5;8;9;4;100.0;2607;954558 ms
7;jscatterplot 74C.odem;74;-1.0;-1.0;-2.5;-1.5;2.5;0.0;3;3;0;2;10;5;98.61;3006;810362 ms
7;servletapi-2.3 63C.odem;63;-0.5;1.0;0.0;-1.5;-2.0;-0.5;4;7;5;2;1;4;85.96;3004;471674 ms
9;servletapi-2.3 63C.odem;63;-1.5;0.5;0.5;-1.0;-0.5;-0.5;2;6;6;3;4;4;96.55;3006;468879 ms
8;servletapi-2.3 63C.odem;63;-2.5;-0.5;-1.0;-2.5;-2.5;0.5;0;4;3;0;0;6;96.49;3001;471167 ms
3;xmldom 119C.odem;119;2.5;0.0;-1.0;1.0;1.0;-0.5;10;5;3;7;7;4;100.0;988;991342 ms
1;jfluid-1.7.0 82C.odem;82;0.5;1.5;-2.5;2.0;2.0;-1.5;6;8;0;9;9;2;97.5;3001;1078444 ms
3;jfluid-1.7.0 82C.odem;82;1.0;1.5;-1.0;-0.5;-0.5;-2.0;7;8;3;4;4;1;97.5;3005;1083418 ms
4;jfluid-1.7.0 82C.odem;82;-2.0;-1.0;-1.0;-2.5;-1.5;1.5;1;3;3;0;2;8;98.75;3004;1090590 ms
0;jxls-core 83C.odem;83;2.0;-0.5;-1.5;-2.0;0.5;2.0;9;4;2;1;6;9;92.11;3001;1097987 ms
3;jxls-core 83C.odem;83;0.5;0.5;0.5;-0.5;1.0;2.5;6;6;6;4;7;10;96.15;3001;1106950 ms
4;jxls-core 83C.odem;83;-2.5;0.5;0.5;-1.5;-1.0;-0.5;0;6;6;2;3;4;90.67;3001;1113363 ms
5;pfcda_base 67C.odem;67;-0.5;0.0;-1.0;-2.5;-1.5;-0.5;4;5;3;0;2;4;91.53;3003;541651 ms
6;pfcda_base 67C.odem;67;2.0;-0.5;-2.0;0.5;2.5;2.0;9;4;1;6;10;9;90.0;3002;551280 ms
8;pfcda_base 67C.odem;67;2.0;0.0;0.0;2.0;2.0;0.0;9;5;5;9;9;5;100.0;2976;553477 ms
9;pfcda_base 67C.odem;67;-1.0;-0.5;0.0;-1.5;-1.5;0.5;3;4;5;2;2;6;91.53;3004;548452 ms
8;forms-1.3.0 68C.odem;68;0.5;-0.5;-0.5;2.0;2.0;0.0;6;4;4;9;9;5;100.0;2735;535690 ms
6;forms-1.3.0 68C.odem;68;-0.5;-0.5;0.0;-2.0;-2.0;-0.5;4;4;5;1;1;4;100.0;2840;548358 ms
8;jfluid-1.7.0 82C.odem;82;2.0;-0.5;0.0;2.5;1.5;0.5;9;4;5;10;8;6;100.0;409;132552 ms
8;jscatterplot 74C.odem;74;0.0;1.5;0.5;0.0;-1.5;-2.0;5;8;6;5;2;1;98.61;3002;766283 ms
9;forms-1.3.0 68C.odem;68;-2.5;2.0;-2.0;1.5;-0.5;-2.5;0;9;1;8;4;0;98.44;3000;580735 ms
5;jxls-core 83C.odem;83;2.0;0.0;0.0;-1.5;0.5;1.5;9;5;5;2;6;8;94.87;3000;1071841 ms
9;jscatterplot 74C.odem;74;2.5;-1.0;-0.5;2.0;1.0;2.0;10;3;4;9;7;9;100.0;1998;479059 ms
6;jfluid-1.7.0 82C.odem;82;0.5;-0.5;0.0;2.5;2.0;1.0;6;4;5;10;9;7;100.0;2096;675097 ms
1;javaws 378C.odem;378;1.5;0.0;0.0;2.0;1.0;-0.5;8;5;5;9;7;4;100.0;46;1516228 ms
4;JPassword 96C.odem;96;-1.5;1.0;0.5;-1.0;-1.5;0.0;2;7;6;3;2;5;95.51;3005;1596200 ms
0;JPassword 96C.odem;96;-2.5;2.0;0.0;-1.0;-1.0;0.0;0;9;5;3;3;5;95.51;3005;1605173 ms
2;JPassword 96C.odem;96;0.5;1.5;-1.0;-2.5;-1.5;-1.5;6;8;3;0;2;2;95.51;3002;1607793 ms
1;JPassword 96C.odem;96;-2.0;1.5;0.5;-2.0;-2.0;-0.5;1;8;6;1;1;4;94.32;3003;1619902 ms
1;junit-3.8.1 100C.odem;100;2.0;-1.5;-0.5;1.5;0.5;2.0;9;2;4;8;6;9;94.68;3000;1739370 ms
3;junit-3.8.1 100C.odem;100;-2.5;1.5;-2.5;-0.5;-2.0;-2.5;0;8;0;4;1;0;95.74;3006;1743934 ms
4;junit-3.8.1 100C.odem;100;-1.5;0.0;-0.5;-2.0;-1.0;-2.5;2;5;4;1;3;0;94.68;3005;1752507 ms
0;junit-3.8.1 100C.odem;100;2.5;-2.5;0.5;2.0;2.5;2.0;10;0;6;9;10;9;93.68;3003;1756033 ms
2;junit-3.8.1 100C.odem;100;2.5;-2.0;1.0;2.5;1.0;2.5;10;1;7;10;7;10;96.81;3004;1768654 ms
6;jxls-core 83C.odem;83;-1.5;2.0;2.0;-2.0;-1.5;-1.5;2;9;9;1;2;2;88.16;3005;918432 ms
7;jfluid-1.7.0 82C.odem;82;1.0;-1.5;1.0;2.0;0.5;0.0;7;2;7;9;6;5;98.75;3003;917393 ms
9;jfluid-1.7.0 82C.odem;82;1.0;-2.0;1.5;-2.0;1.0;1.0;7;1;8;1;7;7;98.75;3002;883611 ms
7;jxls-core 83C.odem;83;-1.5;0.0;-2.0;-1.0;-0.5;0.5;2;5;1;3;4;6;96.05;3000;897449 ms
9;jxls-core 83C.odem;83;0.5;-0.5;-1.0;-0.5;0.5;1.5;6;4;3;4;6;8;94.87;3004;901349 ms
8;jxls-core 83C.odem;83;2.0;0.5;-0.5;-0.5;2.5;1.5;9;6;4;4;10;8;96.15;3002;910677 ms
