cycle;instance;nclasses;n1;n2;n3;n4;n5;n6;n7;n8;p1;p2;p3;p4;p5;p6;p7;p8;mojo;evals;tempo
2;jxls-reader 27C.odem;27;2.0;0.5;0.5;1.5;-2.0;2.0;-1.0;2.0;9; 6; 6; 8; 1; 9; 3; 9;77.27;4008;83961 ms
4;jxls-reader 27C.odem;27;-2.5;-1.5;1.5;0.0;0.0;2.5;-1.0;-0.5;0; 2; 8; 5; 5; 10; 3; 4;78.26;4008;84415 ms
5;joda-money 26C.odem;26;2.5;1.5;2.0;0.0;1.5;1.5;0.5;0.5;10; 8; 9; 5; 8; 8; 6; 6;95.83;4009;75170 ms
9;seemp 31C.odem;31;-2.5;-0.5;-1.0;1.0;-1.5;0.0;2.0;-2.0;0; 4; 3; 7; 2; 5; 9; 1;100.0;1598;43298 ms
1;jxls-reader 27C.odem;27;-2.5;0.0;-2.0;0.5;-2.0;-2.5;1.5;-1.5;0; 5; 1; 6; 1; 0; 8; 2;81.82;4003;87090 ms
3;jxls-reader 27C.odem;27;2.0;0.0;1.0;0.5;1.5;1.5;-0.5;2.0;9; 5; 7; 6; 8; 8; 4; 9;86.36;4000;87820 ms
5;jnanoxml 25C.odem;25;-2.0;-0.5;-1.5;-1.0;1.5;-1.0;-1.5;-1.5;1; 4; 2; 3; 8; 3; 2; 2;86.36;4003;60581 ms
7;jnanoxml 25C.odem;25;1.5;1.0;0.0;1.5;-2.5;1.5;1.0;2.5;8; 7; 5; 8; 0; 8; 7; 10;86.36;4004;61237 ms
6;jnanoxml 25C.odem;25;-0.5;1.0;-2.0;-1.5;0.5;-2.0;-1.5;-1.0;4; 7; 1; 2; 6; 1; 2; 3;86.36;4007;62063 ms
8;jnanoxml 25C.odem;25;2.5;1.0;0.5;0.5;-0.5;0.5;2.0;2.0;10; 7; 6; 6; 4; 6; 9; 9;90.91;4003;62457 ms
6;joda-money 26C.odem;26;1.5;2.0;0.5;-0.5;-1.0;2.0;0.5;0.5;8; 9; 6; 4; 3; 9; 6; 6;95.83;4001;72334 ms
9;jnanoxml 25C.odem;25;-2.0;-1.5;-2.0;-1.5;0.5;-1.5;-2.0;-0.5;1; 2; 1; 2; 6; 2; 1; 4;95.45;4008;62311 ms
9;joda-money 26C.odem;26;-2.5;2.5;2.0;-1.5;-2.5;-1.0;-0.5;-0.5;0; 10; 9; 2; 0; 3; 4; 4;95.83;4007;65973 ms
7;joda-money 26C.odem;26;-2.5;-2.5;-2.5;-1.0;2.0;0.5;0.0;-0.5;0; 0; 0; 3; 9; 6; 5; 4;95.83;4001;72067 ms
8;joda-money 26C.odem;26;2.5;0.5;-1.5;-0.5;0.0;-0.5;1.5;2.5;10; 6; 2; 4; 5; 4; 8; 10;95.83;4005;71857 ms
6;jxls-reader 27C.odem;27;-0.5;-0.5;-1.5;0.5;1.0;-2.5;-2.0;0.0;4; 4; 2; 6; 7; 0; 1; 5;77.27;4009;73627 ms
5;jxls-reader 27C.odem;27;-1.0;-1.0;-1.5;1.0;-1.0;-1.5;0.5;-1.0;3; 3; 2; 7; 3; 2; 6; 3;81.82;4002;74791 ms
7;jxls-reader 27C.odem;27;-0.5;-2.5;-2.5;-1.0;1.0;-2.5;1.5;-0.5;4; 0; 0; 3; 7; 0; 8; 4;81.82;4002;74088 ms
9;jxls-reader 27C.odem;27;1.0;2.0;-1.0;0.0;-2.5;-1.0;0.0;0.5;7; 9; 3; 5; 0; 3; 5; 6;81.82;4003;74509 ms
8;jxls-reader 27C.odem;27;-2.5;-1.0;2.0;-1.0;-1.0;-2.0;2.5;-1.0;0; 3; 9; 3; 3; 1; 10; 3;82.61;4008;75418 ms
4;javaocr 59C.odem;59;1.5;-0.5;0.0;0.5;2.0;1.5;1.5;0.5;8; 4; 5; 6; 9; 8; 8; 6;100.0;1128;195752 ms
4;udt-java 56C.odem;56;0.5;-2.0;2.5;1.0;2.5;0.5;-1.0;0.0;6; 1; 10; 7; 10; 6; 3; 5;84.31;4006;561682 ms
3;udt-java 56C.odem;56;-2.5;-1.0;-2.0;-1.5;-2.5;-2.5;-2.0;-1.0;0; 3; 1; 2; 0; 0; 1; 3;74.0;4003;570034 ms
1;udt-java 56C.odem;56;-1.0;-1.5;-0.5;2.5;-2.0;2.5;-1.0;1.5;3; 2; 4; 10; 1; 10; 3; 8;71.15;4005;570925 ms
2;udt-java 56C.odem;56;2.5;-2.5;1.5;-2.0;2.0;2.0;-2.0;1.0;10; 0; 8; 1; 9; 9; 1; 7;72.0;4003;578902 ms
0;udt-java 56C.odem;56;2.5;2.0;-1.0;-0.5;-2.0;-0.5;0.0;0.0;10; 9; 3; 4; 1; 4; 5; 5;94.12;4006;586074 ms
4;pfcda_base 67C.odem;67;1.0;0.0;1.0;0.0;2.0;1.0;-1.0;-1.0;7; 5; 7; 5; 9; 7; 3; 3;100.0;2528;593464 ms
1;javaocr 59C.odem;59;-2.5;0.5;-1.0;1.0;0.0;-2.5;-1.0;-2.0;0; 6; 3; 7; 5; 0; 3; 1;90.38;4000;635081 ms
0;javaocr 59C.odem;59;-1.5;1.0;-0.5;-0.5;-0.5;-2.0;-0.5;0.5;2; 7; 4; 4; 4; 1; 4; 6;88.68;4009;643773 ms
2;javaocr 59C.odem;59;1.0;-1.5;2.0;-2.5;1.5;2.5;0.0;2.5;7; 2; 9; 0; 8; 10; 5; 10;86.79;4004;647879 ms
3;javaocr 59C.odem;59;2.5;-0.5;0.0;-0.5;1.5;2.0;0.5;-1.5;10; 4; 5; 4; 8; 9; 6; 2;94.23;4003;660126 ms
4;servletapi-2.3 63C.odem;63;2.5;-1.0;-2.0;0.0;0.5;2.5;1.5;0.5;10; 3; 1; 5; 6; 10; 8; 6;83.93;4004;766673 ms
1;servletapi-2.3 63C.odem;63;-1.0;-0.5;0.5;-0.5;-0.5;-1.5;-0.5;0.0;3; 4; 6; 4; 4; 2; 4; 5;96.49;4001;767318 ms
2;servletapi-2.3 63C.odem;63;-2.5;-0.5;1.5;0.0;-1.0;-1.5;-1.5;0.5;0; 4; 8; 5; 3; 2; 2; 6;93.1;4002;773978 ms
3;servletapi-2.3 63C.odem;63;-1.0;0.5;-1.0;0.5;-2.0;-1.0;0.5;0.0;3; 6; 3; 6; 1; 3; 6; 5;96.55;4002;776808 ms
0;servletapi-2.3 63C.odem;63;1.0;-2.5;-0.5;-2.5;2.0;0.5;0.0;1.0;7; 0; 4; 0; 9; 6; 5; 7;85.96;4002;777413 ms
5;javaocr 59C.odem;59;0.0;-1.5;-0.5;-2.0;-1.5;-1.5;2.0;-1.5;5; 2; 4; 1; 2; 2; 9; 2;87.04;4006;615363 ms
1;pfcda_base 67C.odem;67;0.0;-1.5;1.0;-1.0;2.0;2.0;0.5;-2.0;5; 2; 7; 3; 9; 9; 6; 1;79.69;4004;916389 ms
3;pfcda_base 67C.odem;67;2.5;-1.5;0.5;-0.5;-1.0;2.5;0.5;0.0;10; 2; 6; 4; 3; 10; 6; 5;82.54;4001;924014 ms
0;pfcda_base 67C.odem;67;-1.0;-2.0;-2.5;0.5;1.5;2.0;1.5;0.0;3; 1; 0; 6; 8; 9; 8; 5;80.0;4007;925834 ms
2;pfcda_base 67C.odem;67;-1.5;1.5;-2.5;0.5;-2.5;-2.0;-2.5;0.0;2; 8; 0; 6; 0; 1; 0; 5;80.0;4001;930075 ms
0;forms-1.3.0 68C.odem;68;0.0;-0.5;1.5;0.5;-2.0;1.5;2.0;2.5;5; 4; 8; 6; 1; 8; 9; 10;95.45;4007;971819 ms
3;forms-1.3.0 68C.odem;68;1.0;-2.5;1.5;-1.5;1.5;2.5;2.0;1.5;7; 0; 8; 2; 8; 10; 9; 8;96.88;4002;972080 ms
2;forms-1.3.0 68C.odem;68;1.5;-2.5;0.0;-1.0;0.0;2.5;1.5;-0.5;8; 0; 5; 3; 5; 10; 8; 4;98.44;4004;975747 ms
1;forms-1.3.0 68C.odem;68;0.0;-1.0;1.0;-0.5;1.5;2.5;-1.0;0.0;5; 3; 7; 4; 8; 10; 3; 5;98.44;4006;979105 ms
4;forms-1.3.0 68C.odem;68;0.5;-1.5;0.0;-1.0;-0.5;1.0;1.5;0.5;6; 2; 5; 3; 4; 7; 8; 6;95.45;4004;987831 ms
7;udt-java 56C.odem;56;2.0;-0.5;0.0;0.5;0.5;0.5;1.5;-0.5;9; 4; 5; 6; 6; 6; 8; 4;90.0;4004;539271 ms
5;udt-java 56C.odem;56;2.0;-1.0;-0.5;0.0;2.0;1.0;-1.0;2.0;9; 3; 4; 5; 9; 7; 3; 9;73.58;4009;552661 ms
6;udt-java 56C.odem;56;1.5;-2.0;0.5;0.5;2.5;1.0;0.5;-1.5;8; 1; 6; 6; 10; 7; 6; 2;94.12;4008;557113 ms
8;udt-java 56C.odem;56;-1.5;0.5;1.0;-0.5;-1.0;-1.5;0.0;-1.0;2; 6; 7; 4; 3; 2; 5; 3;96.08;4006;553581 ms
