cycle;instance;nclasses;n1;n2;n3;n4;n5;n6;n7;n8;p1;p2;p3;p4;p5;p6;p7;p8;mojo;evals;tempo
7;Jung-graph 207C.odem;207;-2.0;-0.5;-2.5;-1.0;-2.0;-2.0;-0.5;-0.5;1; 4; 0; 3; 1; 1; 4; 4;98.53;4008;12204821 ms
9;Jung-graph 207C.odem;207;1.0;1.5;1.0;-1.0;2.5;1.0;2.5;2.5;7; 8; 7; 3; 10; 7; 10; 10;98.04;4002;12228003 ms
1;jpassword 269C.odem;269;-1.5;2.0;0.5;0.0;0.0;-1.0;-2.0;0.5;2; 9; 6; 5; 5; 3; 1; 6;88.03;4001;32263895 ms
4;jpassword 269C.odem;269;0.0;-2.5;0.0;-2.5;2.0;0.5;0.5;1.0;5; 0; 5; 0; 9; 6; 6; 7;86.69;4003;32303918 ms
0;jpassword 269C.odem;269;1.5;-0.5;-1.5;0.0;2.0;0.5;2.5;0.5;8; 4; 2; 5; 9; 6; 10; 6;84.85;4007;32360469 ms
2;jpassword 269C.odem;269;-1.5;0.5;0.0;0.0;-1.5;-0.5;0.0;0.5;2; 6; 5; 5; 2; 4; 5; 6;94.68;4007;32431736 ms
3;jpassword 269C.odem;269;2.0;-1.5;1.0;-2.0;2.0;2.0;0.0;2.5;9; 2; 7; 1; 9; 9; 5; 10;83.65;4005;32431860 ms
2;jml 270C.odem;270;-1.5;-1.0;-2.0;-2.0;1.5;0.5;1.0;1.5;2; 3; 1; 1; 8; 6; 7; 8;80.31;4005;32450197 ms
1;jml 270C.odem;270;-2.5;1.0;-0.5;1.5;-1.5;-0.5;0.0;-1.5;0; 7; 4; 8; 2; 4; 5; 2;77.22;4000;32631683 ms
0;jml 270C.odem;270;-0.5;0.5;2.0;2.5;-2.0;-1.0;-2.0;-2.5;4; 6; 9; 10; 1; 3; 1; 0;76.36;4007;32642699 ms
4;jml 270C.odem;270;1.0;-2.5;1.0;-0.5;2.0;1.0;-0.5;0.5;7; 0; 7; 4; 9; 7; 4; 6;85.0;4005;32659213 ms
3;jml 270C.odem;270;-1.0;-0.5;-2.0;-1.0;2.5;-2.5;-1.5;-2.5;3; 4; 1; 3; 10; 0; 2; 0;72.59;4008;32742764 ms
8;jconsole-1.7.0 220C.odem;220;1.0;1.5;-1.5;-2.5;-2.5;-2.5;-2.5;-2.5;7; 8; 2; 0; 0; 0; 0; 0;89.4;4007;13162922 ms
6;jconsole-1.7.0 220C.odem;220;1.5;-2.0;0.0;-1.5;2.0;1.5;-0.5;2.5;8; 1; 5; 2; 9; 8; 4; 10;89.4;4007;13215394 ms
7;jconsole-1.7.0 220C.odem;220;0.0;-2.5;1.0;1.0;1.5;2.5;-1.0;2.0;5; 0; 7; 7; 8; 10; 3; 9;89.4;4005;13198977 ms
5;jconsole-1.7.0 220C.odem;220;-1.5;0.5;0.0;1.0;-0.5;-2.5;-1.5;-0.5;2; 6; 5; 7; 4; 0; 2; 4;90.61;4008;13379651 ms
9;jconsole-1.7.0 220C.odem;220;-2.5;2.5;-2.5;0.0;0.5;-2.5;-2.0;-1.5;0; 10; 0; 5; 6; 0; 1; 2;89.15;4007;13273244 ms
6;Jung-visualization 221C.odem;221;-1.5;-0.5;-0.5;1.5;-2.0;-1.0;2.0;-1.5;2; 4; 4; 8; 1; 3; 9; 2;87.1;4007;13288553 ms
5;Jung-visualization 221C.odem;221;2.5;0.0;-0.5;2.0;-0.5;2.0;2.0;2.0;10; 5; 4; 9; 4; 9; 9; 9;87.1;4001;13314010 ms
7;Jung-visualization 221C.odem;221;-2.5;-1.0;-2.0;2.5;-2.5;-1.5;-1.5;-2.0;0; 3; 1; 10; 0; 2; 2; 1;87.1;4008;13310878 ms
8;Jung-visualization 221C.odem;221;-2.5;-1.0;-2.0;1.5;-1.0;-1.5;0.0;-2.5;0; 3; 1; 8; 3; 2; 5; 0;87.5;4003;13338748 ms
9;Jung-visualization 221C.odem;221;0.0;0.0;2.5;2.5;1.5;2.5;-0.5;-1.0;5; 5; 10; 10; 8; 10; 4; 3;86.3;4008;13273761 ms
4;notepad-full 299C.odem;299;-1.0;-2.5;-1.0;1.0;1.0;-0.5;0.0;-2.5;3; 0; 3; 7; 7; 4; 5; 0;86.2;4004;39406891 ms
3;notepad-full 299C.odem;299;2.0;1.0;1.0;-1.5;-1.0;-1.0;0.5;1.5;9; 7; 7; 2; 3; 3; 6; 8;85.86;4006;39412418 ms
2;notepad-full 299C.odem;299;0.5;2.0;1.5;0.0;-1.0;1.5;2.0;-0.5;6; 9; 8; 5; 3; 8; 9; 4;86.2;4006;39415586 ms
0;notepad-full 299C.odem;299;-2.5;1.0;1.5;2.0;1.0;-0.5;2.5;-2.0;0; 7; 8; 9; 7; 4; 10; 1;85.86;4005;39547380 ms
1;notepad-full 299C.odem;299;-2.5;-1.5;0.0;1.5;-1.5;-2.0;0.0;1.0;0; 2; 5; 8; 2; 1; 5; 7;86.2;4008;39564451 ms
3;poormans_2.3 304C.odem;304;2.5;-0.5;0.5;0.5;0.0;2.5;-1.5;1.5;10; 4; 6; 6; 5; 10; 2; 8;81.57;4009;40649820 ms
2;poormans_2.3 304C.odem;304;-0.5;1.0;1.0;2.0;-2.5;-2.5;-2.0;-2.0;4; 7; 7; 9; 0; 0; 1; 1;79.87;4007;40728786 ms
1;poormans_2.3 304C.odem;304;1.5;-0.5;-1.5;0.0;1.0;2.5;2.0;-0.5;8; 4; 2; 5; 7; 10; 9; 4;79.38;4006;40772906 ms
0;poormans_2.3 304C.odem;304;-1.5;1.0;-0.5;1.0;-2.5;-2.0;2.0;-1.0;2; 7; 4; 7; 0; 1; 9; 3;84.46;4001;40781500 ms
4;poormans_2.3 304C.odem;304;-2.5;-0.5;-1.5;0.0;-0.5;-2.0;-2.5;1.0;0; 4; 2; 5; 4; 1; 0; 7;80.48;4005;40804961 ms
1;log4j-1.2.16 308C.odem;308;1.5;2.5;1.0;2.5;-1.5;2.0;1.5;1.5;8; 10; 7; 10; 2; 9; 8; 8;92.13;4005;41722703 ms
2;log4j-1.2.16 308C.odem;308;-1.0;-2.0;-2.5;2.5;-1.0;-2.0;-0.5;2.5;3; 1; 0; 10; 3; 1; 4; 10;91.83;4002;41779965 ms
4;log4j-1.2.16 308C.odem;308;0.0;-1.5;2.5;2.0;-1.5;1.5;1.5;2.5;5; 2; 10; 9; 2; 8; 8; 10;92.41;4007;41785503 ms
0;log4j-1.2.16 308C.odem;308;-0.5;0.5;2.5;-0.5;0.5;2.0;-0.5;0.0;4; 6; 10; 4; 6; 9; 4; 5;92.41;4001;41817753 ms
3;log4j-1.2.16 308C.odem;308;-2.0;-1.0;0.5;1.5;2.0;-2.0;-1.0;2.5;1; 3; 6; 8; 9; 1; 3; 10;91.83;4000;41902125 ms
5;pfcda_swing 252C.odem;252;-2.0;2.5;-1.0;0.0;-1.0;-2.5;1.5;0.5;1; 10; 3; 5; 3; 0; 8; 6;85.31;4006;16195646 ms
8;pfcda_swing 252C.odem;252;2.0;0.0;1.5;0.0;2.0;2.5;1.5;0.0;9; 5; 8; 5; 9; 10; 8; 5;86.94;4002;16141517 ms
7;pfcda_swing 252C.odem;252;-0.5;0.5;0.5;0.5;-1.5;-1.5;-2.5;-0.5;4; 6; 6; 6; 2; 2; 0; 4;82.57;4001;16326001 ms
6;pfcda_swing 252C.odem;252;0.5;-1.5;-0.5;0.0;2.5;2.5;0.0;1.5;6; 2; 4; 5; 10; 10; 5; 8;83.27;4003;16454037 ms
9;pfcda_swing 252C.odem;252;2.5;-2.0;-1.5;0.0;0.5;1.0;-0.5;-1.0;10; 1; 2; 5; 6; 7; 4; 3;82.72;4002;16265437 ms
4;jtreeview 329C.odem;329;2.0;-1.5;2.5;-2.5;2.0;1.5;0.5;-2.0;9; 2; 10; 0; 9; 8; 6; 1;83.65;4003;47748316 ms
2;jtreeview 329C.odem;329;-1.0;1.5;-2.0;-1.0;1.0;-2.0;-1.5;0.0;3; 8; 1; 3; 7; 1; 2; 5;86.6;4008;47753485 ms
1;jtreeview 329C.odem;329;-1.0;2.5;2.5;-0.5;-2.5;-2.5;-2.0;-0.5;3; 10; 10; 4; 0; 0; 1; 4;82.97;4005;47755413 ms
0;jtreeview 329C.odem;329;-1.0;-0.5;0.0;0.5;-2.5;-1.5;-1.0;0.5;3; 4; 5; 6; 0; 2; 3; 6;93.42;4003;47862525 ms
3;jtreeview 329C.odem;329;2.0;-1.5;-1.0;-0.5;1.5;1.5;1.0;-1.0;9; 2; 3; 4; 8; 8; 7; 3;88.36;4008;47885090 ms
5;jpassword 269C.odem;269;-1.5;1.0;0.0;0.5;-2.5;-0.5;-2.5;0.5;2; 7; 5; 6; 0; 4; 0; 6;80.99;4000;18370036 ms
0;jace 340C.odem;340;1.5;-2.5;-1.0;0.5;2.0;2.5;1.5;0.5;8; 0; 3; 6; 9; 10; 8; 6;87.73;4007;50638361 ms
6;jpassword 269C.odem;269;-1.5;2.5;-2.5;0.5;-2.5;-0.5;-0.5;0.0;2; 10; 0; 6; 0; 4; 4; 5;89.69;4006;18374245 ms
4;jace 340C.odem;340;0.5;0.0;1.0;1.5;1.0;1.5;-1.0;0.5;6; 5; 7; 8; 7; 8; 3; 6;84.88;4005;50769428 ms
3;jace 340C.odem;340;0.5;-0.5;-2.5;1.0;-1.0;-2.5;0.5;-2.5;6; 4; 0; 7; 3; 0; 6; 0;86.32;4002;50810629 ms
9;jpassword 269C.odem;269;0.0;0.0;-2.0;1.0;1.5;-1.5;-1.5;-2.0;5; 5; 1; 7; 8; 2; 2; 1;76.81;4007;18422438 ms
8;jpassword 269C.odem;269;-2.0;-1.0;-2.0;-1.0;-2.5;-1.5;-2.0;0.0;1; 3; 1; 3; 0; 2; 1; 5;95.42;4003;18431837 ms
7;jpassword 269C.odem;269;0.5;2.0;0.5;2.5;-2.5;-1.5;0.0;-0.5;6; 9; 6; 10; 0; 2; 5; 4;87.07;4007;18538272 ms
2;jace 340C.odem;340;2.5;-2.0;1.0;-2.5;1.0;1.5;1.5;1.5;10; 1; 7; 0; 7; 8; 8; 8;87.42;4001;50950500 ms
1;jace 340C.odem;340;2.5;-1.0;1.5;0.0;-0.5;2.0;1.5;-1.0;10; 3; 8; 5; 4; 9; 8; 3;85.54;4003;51014457 ms
5;jml 270C.odem;270;1.0;0.0;-2.0;1.5;1.5;1.5;1.5;-1.0;7; 5; 1; 8; 8; 8; 8; 3;70.15;4006;18639480 ms
8;jml 270C.odem;270;-2.0;2.5;2.0;0.0;-2.5;-0.5;-1.5;0.0;1; 10; 9; 5; 0; 4; 2; 5;81.15;4008;18510474 ms
9;jml 270C.odem;270;-2.5;2.5;-1.5;0.5;-2.5;-2.0;0.0;0.0;0; 10; 2; 6; 0; 1; 5; 5;80.93;4003;18434822 ms
6;jml 270C.odem;270;2.5;-0.5;2.5;-1.5;2.0;0.5;0.0;1.5;10; 4; 10; 2; 9; 6; 5; 8;76.63;4006;18565307 ms
7;jml 270C.odem;270;1.5;-1.5;2.0;-1.0;2.5;1.5;-1.0;2.0;8; 2; 9; 3; 10; 8; 3; 9;79.62;4004;18593534 ms
5;notepad-full 299C.odem;299;1.5;1.5;1.0;1.5;1.5;-2.5;2.5;1.0;8; 8; 7; 8; 8; 0; 10; 7;86.2;4009;21489005 ms
6;notepad-full 299C.odem;299;1.5;0.5;0.5;0.0;-2.5;1.5;0.5;-0.5;8; 6; 6; 5; 0; 8; 6; 4;86.2;4006;21597988 ms
7;notepad-full 299C.odem;299;2.0;-1.0;-0.5;2.0;2.5;-1.0;2.5;0.0;9; 3; 4; 9; 10; 3; 10; 5;86.2;4005;21620330 ms
8;notepad-full 299C.odem;299;-1.5;1.5;0.0;2.0;-1.0;-0.5;1.5;1.0;2; 8; 5; 9; 3; 4; 8; 7;85.86;4004;21513628 ms
9;notepad-full 299C.odem;299;-0.5;0.0;-2.5;1.5;-2.5;-1.5;2.5;1.0;4; 5; 0; 8; 0; 2; 10; 7;86.2;4002;21522839 ms
0;javaws 378C.odem;378;2.5;-1.5;2.0;-0.5;-0.5;2.0;1.0;0.5;10; 2; 9; 4; 4; 9; 7; 6;82.92;4004;61900779 ms
1;javaws 378C.odem;378;2.5;-1.0;-0.5;-1.5;2.0;1.0;2.0;-1.0;10; 3; 4; 2; 9; 7; 9; 3;88.74;4005;61981127 ms
0;javaws-7 378C.odem;378;-2.0;0.5;0.5;-2.0;-2.0;-1.0;-0.5;0.0;1; 6; 6; 1; 1; 3; 4; 5;92.54;4006;61990716 ms
3;javaws 378C.odem;378;-2.0;-0.5;0.5;0.0;-1.5;-2.0;0.0;-0.5;1; 4; 6; 5; 2; 1; 5; 4;92.54;4009;62038362 ms
4;javaws-7 378C.odem;378;-1.0;2.5;-0.5;0.0;-2.0;-1.5;0.0;0.0;3; 10; 4; 5; 1; 2; 5; 5;90.96;4005;62048493 ms
2;javaws-7 378C.odem;378;-2.0;2.0;-2.0;1.0;-1.5;-1.5;-0.5;-1.0;1; 9; 1; 7; 2; 2; 4; 3;83.43;4007;62074120 ms
2;javaws 378C.odem;378;1.0;2.5;-1.5;-1.0;-1.5;-1.0;0.5;0.0;7; 10; 2; 3; 2; 3; 6; 5;91.23;4009;62077536 ms
3;javaws-7 378C.odem;378;1.0;-2.5;0.5;0.0;0.5;1.0;0.5;0.5;7; 0; 6; 5; 6; 7; 6; 6;86.19;4006;62098459 ms
1;javaws-7 378C.odem;378;2.5;-0.5;1.5;0.0;1.0;1.5;0.5;1.0;10; 4; 8; 5; 7; 8; 6; 7;92.01;4003;62101073 ms
4;javaws 378C.odem;378;-1.0;1.0;1.0;2.5;-2.5;-0.5;-1.0;-2.5;3; 7; 7; 10; 0; 4; 3; 0;82.83;4006;62184915 ms
8;poormans_2.3 304C.odem;304;-0.5;2.5;-1.5;-0.5;-2.0;-2.0;1.0;0.0;4; 10; 2; 4; 1; 1; 7; 5;84.85;4005;21862220 ms
5;poormans_2.3 304C.odem;304;-1.0;2.5;-2.0;-2.5;0.5;-2.0;-1.0;-1.5;3; 10; 1; 0; 6; 1; 3; 2;71.62;4009;21996018 ms
7;poormans_2.3 304C.odem;304;-1.0;2.0;2.5;1.0;-1.5;-1.5;-2.5;-0.5;3; 9; 10; 7; 2; 2; 0; 4;81.21;4008;21877375 ms
6;poormans_2.3 304C.odem;304;-0.5;2.5;0.0;2.0;-2.0;-2.0;-2.0;-0.5;4; 10; 5; 9; 1; 1; 1; 4;76.53;4008;21931015 ms
9;poormans_2.3 304C.odem;304;-2.0;-0.5;-0.5;-0.5;-2.5;-0.5;-1.5;1.0;1; 4; 4; 4; 0; 4; 2; 7;80.61;4009;21869681 ms
5;log4j-1.2.16 308C.odem;308;2.5;-2.5;1.0;1.5;0.5;2.5;-2.0;-0.5;10; 0; 7; 8; 6; 10; 1; 4;91.83;4005;22082828 ms
7;log4j-1.2.16 308C.odem;308;-0.5;-1.0;2.5;-2.0;1.5;2.0;1.0;0.5;4; 3; 10; 1; 8; 9; 7; 6;92.38;4008;22038012 ms
8;log4j-1.2.16 308C.odem;308;1.0;0.0;-0.5;0.5;1.5;2.0;-2.0;1.5;7; 5; 4; 6; 8; 9; 1; 8;92.05;4005;22018075 ms
6;log4j-1.2.16 308C.odem;308;-2.0;-1.0;1.5;-2.5;1.5;-1.5;-1.0;-2.5;1; 3; 8; 0; 8; 2; 3; 0;93.73;4009;22064580 ms
9;log4j-1.2.16 308C.odem;308;1.0;-1.0;1.5;1.5;-2.0;1.5;1.5;1.0;7; 3; 8; 8; 1; 8; 8; 7;92.74;4007;22034995 ms
6;jtreeview 329C.odem;329;-2.5;0.0;-1.5;-1.5;-2.5;-1.0;-1.0;-2.5;0; 5; 2; 2; 0; 3; 3; 0;81.82;4007;22044690 ms
9;jtreeview 329C.odem;329;0.0;-2.0;0.0;-1.5;1.0;1.0;0.0;1.0;5; 1; 5; 2; 7; 7; 5; 7;85.76;4003;22165817 ms
7;jtreeview 329C.odem;329;2.5;0.0;-1.0;-0.5;1.5;0.5;-1.0;-1.0;10; 5; 3; 4; 8; 6; 3; 3;88.44;4004;22307962 ms
5;jtreeview 329C.odem;329;2.5;-2.5;-2.5;0.0;0.5;1.5;2.0;-0.5;10; 0; 0; 5; 6; 8; 9; 4;83.86;4006;22346396 ms
8;jtreeview 329C.odem;329;0.0;1.5;-0.5;-1.0;-2.0;-1.0;-1.5;-0.5;5; 8; 4; 3; 1; 3; 2; 4;86.48;4003;22237922 ms
5;jace 340C.odem;340;0.5;-0.5;-1.5;0.0;1.0;-1.5;-1.5;-2.5;6; 4; 2; 5; 7; 2; 2; 0;89.33;4006;22065112 ms
7;jace 340C.odem;340;2.5;2.0;1.5;-0.5;-1.0;1.5;2.5;0.0;10; 9; 8; 4; 3; 8; 10; 5;90.21;4001;21945861 ms
8;jace 340C.odem;340;-1.0;0.0;-0.5;0.0;-1.0;-2.5;-2.0;0.0;3; 5; 4; 5; 3; 0; 1; 5;90.12;4001;21841835 ms
6;jace 340C.odem;340;0.5;-2.5;2.5;-1.5;0.0;1.5;1.0;1.0;6; 0; 10; 2; 5; 8; 7; 7;89.33;4009;22079708 ms
9;jace 340C.odem;340;-2.5;-2.5;-1.0;0.0;2.5;1.0;2.5;0.0;0; 0; 3; 5; 10; 7; 10; 5;86.5;4007;21858524 ms
5;javaws 378C.odem;378;1.0;2.0;-1.5;0.0;-2.5;-0.5;0.5;0.5;7; 9; 2; 5; 0; 4; 6; 6;92.54;4001;20739534 ms
8;javaws 378C.odem;378;-2.5;-0.5;0.0;0.0;-2.5;-1.5;0.5;0.0;0; 4; 5; 5; 0; 2; 6; 5;88.52;4007;20583763 ms
6;javaws 378C.odem;378;-2.5;0.0;0.5;0.0;-0.5;-1.5;0.5;0.5;0; 5; 6; 5; 4; 2; 6; 6;92.54;4002;20702024 ms
5;javaws-7 378C.odem;378;-0.5;-2.0;-2.0;-1.5;-1.5;-2.0;-0.5;-2.0;4; 1; 1; 2; 2; 1; 4; 1;83.7;4007;20702543 ms
6;javaws-7 378C.odem;378;-0.5;-0.5;-0.5;0.0;-2.0;-1.0;1.5;-1.0;4; 4; 4; 5; 1; 3; 8; 3;89.56;4009;20657131 ms
9;javaws 378C.odem;378;-2.5;2.5;1.0;-1.0;-1.5;-0.5;0.0;0.0;0; 10; 7; 3; 2; 4; 5; 5;92.01;4002;20525802 ms
7;javaws 378C.odem;378;2.5;-0.5;0.5;1.5;1.5;1.0;0.5;2.5;10; 4; 6; 8; 8; 7; 6; 10;83.52;4002;20676614 ms
9;javaws-7 378C.odem;378;-2.5;0.5;-1.5;0.0;1.5;-0.5;-1.0;-0.5;0; 6; 2; 5; 8; 4; 3; 4;87.88;4006;20638553 ms
7;javaws-7 378C.odem;378;-2.0;0.0;0.5;-1.0;-2.0;-2.5;-1.0;-1.0;1; 5; 6; 3; 1; 0; 3; 3;89.59;4003;20676247 ms
8;javaws-7 378C.odem;378;-1.0;0.5;1.0;-1.0;-1.5;-1.5;-2.0;-2.5;3; 6; 7; 3; 2; 2; 1; 0;79.35;4004;20654943 ms
3;res_cobol 483C.odem;483;-1.0;2.5;1.5;0.0;-2.0;-2.0;1.5;0.0;3; 10; 8; 5; 1; 1; 8; 5;93.39;4004;85099848 ms
4;res_cobol 483C.odem;483;-2.0;-2.0;0.0;0.0;-1.0;-2.5;0.0;-1.5;1; 1; 5; 5; 3; 0; 5; 2;86.02;4002;85124421 ms
2;res_cobol 483C.odem;483;0.0;-1.5;0.5;0.5;2.0;2.5;-1.0;0.0;5; 2; 6; 6; 9; 10; 3; 5;90.83;4001;85135044 ms
0;res_cobol 483C.odem;483;2.5;-2.5;0.0;-0.5;2.5;1.5;1.5;0.0;10; 0; 5; 4; 10; 8; 8; 5;92.77;4005;85152924 ms
1;res_cobol 483C.odem;483;-0.5;2.5;1.0;0.0;-2.0;-2.0;0.5;0.5;4; 10; 7; 5; 1; 1; 6; 6;93.18;4005;85220071 ms
1;lwjgl 569C.odem;569;1.5;-0.5;0.0;-1.0;2.0;2.0;1.0;2.0;8; 4; 5; 3; 9; 9; 7; 9;86.05;4000;95146736 ms
3;lwjgl 569C.odem;569;0.5;-0.5;-1.0;1.0;2.0;2.0;0.0;1.5;6; 4; 3; 7; 9; 9; 5; 8;81.95;4004;95345772 ms
0;lwjgl 569C.odem;569;0.5;-0.5;0.0;0.5;0.0;2.5;2.0;-1.0;6; 4; 5; 6; 5; 10; 9; 3;88.22;4006;95560748 ms
4;lwjgl 569C.odem;569;2.5;0.0;2.5;-0.5;2.5;0.5;2.5;0.0;10; 5; 10; 4; 10; 6; 10; 5;80.58;4009;95567770 ms
2;lwjgl 569C.odem;569;-2.5;-1.5;0.5;1.5;-1.5;2.0;2.0;2.5;0; 2; 6; 8; 2; 9; 9; 10;80.88;4007;95577654 ms
6;res_cobol 483C.odem;483;-2.0;0.0;1.0;-0.5;2.5;-1.5;-0.5;0.0;1; 5; 7; 4; 10; 2; 4; 5;88.96;4009;19351693 ms
7;res_cobol 483C.odem;483;-1.0;-0.5;0.0;0.0;0.5;-1.5;-1.0;-1.5;3; 4; 5; 5; 6; 2; 3; 2;96.6;4004;19385531 ms
5;res_cobol 483C.odem;483;1.5;-1.5;-1.5;0.0;1.5;2.5;2.5;0.5;8; 2; 2; 5; 8; 10; 10; 6;97.45;4006;19472297 ms
8;res_cobol 483C.odem;483;-2.0;-0.5;-0.5;1.5;0.0;-1.0;-2.0;-1.5;1; 4; 4; 8; 5; 3; 1; 2;96.6;4007;19470238 ms
9;res_cobol 483C.odem;483;2.5;-1.0;-2.5;-1.0;2.0;2.5;2.0;0.0;10; 3; 0; 3; 9; 10; 9; 5;98.51;4009;19516505 ms
5;lwjgl 569C.odem;569;0.0;2.5;2.5;0.0;-2.5;-1.5;-2.0;-0.5;5; 10; 10; 5; 0; 2; 1; 4;80.72;4005;19103128 ms
8;lwjgl 569C.odem;569;2.5;0.0;0.5;0.5;2.5;2.5;2.0;2.5;10; 5; 6; 6; 10; 10; 9; 10;84.66;4006;18809087 ms
6;lwjgl 569C.odem;569;-2.5;1.5;-2.5;0.0;-2.5;-1.5;1.5;1.0;0; 8; 0; 5; 0; 2; 8; 7;80.58;4007;19358925 ms
7;lwjgl 569C.odem;569;1.0;-1.5;-1.0;0.0;1.0;1.0;2.0;-1.5;7; 2; 3; 5; 7; 7; 9; 2;82.88;4001;19212613 ms
9;lwjgl 569C.odem;569;2.5;-2.0;1.0;2.5;-0.5;1.0;1.5;2.0;10; 1; 7; 10; 4; 7; 8; 9;78.32;4003;19928994 ms
