projectName;intDep;extDep;intDepClas;extDepClas;extclasDep
jfluid-1.7.082C.odem;5;2;3;2;21
jfluid-1.7.082C.odem;152;100;41;26;1
jfluid-1.7.082C.odem;0;0;0;0;8
jfluid-1.7.082C.odem;56;0;27;0;11
JMetal190C.odem;11;8;5;6;150
JMetal190C.odem;7;20;6;17;39
JMetal190C.odem;15;80;9;11;17
JMetal190C.odem;1;8;1;2;2
JMetal190C.odem;11;63;8;9;19
JMetal190C.odem;14;38;9;10;17
JMetal190C.odem;0;40;0;9;22
JMetal190C.odem;1;24;1;8;33
JMetal190C.odem;14;50;7;8;17
JMetal190C.odem;0;136;0;13;3
JMetal190C.odem;1;15;1;2;0
JMetal190C.odem;0;9;0;3;1
JMetal190C.odem;0;16;0;1;1
JMetal190C.odem;0;13;0;1;1
JMetal190C.odem;0;10;0;1;0
JMetal190C.odem;0;10;0;1;0
JMetal190C.odem;0;10;0;1;1
JMetal190C.odem;0;8;0;1;1
JMetal190C.odem;0;75;0;6;1
JMetal190C.odem;0;10;0;1;0
JMetal190C.odem;3;22;3;4;1
JMetal190C.odem;0;20;0;2;3
JMetal190C.odem;0;16;0;1;1
JMetal190C.odem;0;9;0;1;1
JMetal190C.odem;0;8;0;1;0
JMetal190C.odem;0;6;0;1;1
JMetal190C.odem;0;7;0;1;0
JMetal190C.odem;0;14;0;2;0
JMetal190C.odem;1;33;1;5;9
JMetal190C.odem;0;15;0;1;1
JMetal190C.odem;0;11;0;1;0
JMetal190C.odem;0;8;0;1;1
JMetal190C.odem;5;12;1;7;20
JMetal190C.odem;0;3;0;1;9
JMetal190C.odem;11;25;9;7;112
JMetal190C.odem;3;17;3;4;14
JMetal190C.odem;0;18;0;2;9
JMetal190C.odem;3;27;2;3;0
JMetal190C.odem;1;4;1;2;2
JMetal190C.odem;1;0;1;0;4
JMetal190C.odem;1;20;1;2;0
JMetal190C.odem;6;20;4;3;0
JMetal190C.odem;3;20;2;2;0
JMetal190C.odem;1;19;1;2;0
JMetal190C.odem;0;0;0;0;2
JMetal190C.odem;3;23;2;3;0
jnanoxml25C.odem;64;0;20;0;0
jscatterplot74C.odem;232;0;70;0;0
jstl-1.0.618C.odem;6;0;3;0;0
jstl-1.0.618C.odem;1;0;1;0;0
jstl-1.0.618C.odem;3;0;2;0;0
jstl-1.0.618C.odem;10;0;6;0;0
junit-3.8.1100C.odem;26;12;11;4;0
junit-3.8.1100C.odem;7;17;5;7;1
junit-3.8.1100C.odem;27;0;10;0;30
junit-3.8.1100C.odem;12;7;8;3;13
junit-3.8.1100C.odem;103;50;42;19;0
junit-3.8.1100C.odem;1;14;1;2;0
notepad-model46C.odem;0;0;0;0;0
notepad-model46C.odem;0;0;0;0;0
notepad-model46C.odem;0;0;0;0;0
notepad-model46C.odem;0;0;0;0;0
notepad-model46C.odem;0;0;0;0;0
notepad-model46C.odem;0;0;0;0;0
pdf_renderer199C.odem;107;24;33;7;57
pdf_renderer199C.odem;59;0;27;0;4
pdf_renderer199C.odem;53;44;17;16;5
pdf_renderer199C.odem;10;16;4;8;5
pdf_renderer199C.odem;34;16;13;10;3
pdf_renderer199C.odem;16;20;9;7;2
pdf_renderer199C.odem;137;10;48;5;6
pdf_renderer199C.odem;13;21;7;9;1
pdf_renderer199C.odem;2;5;2;2;2
pdf_renderer199C.odem;23;19;14;5;0
seemp31C.odem;0;7;0;1;0
seemp31C.odem;0;4;0;2;5
seemp31C.odem;0;2;0;2;5
seemp31C.odem;0;4;0;2;1
seemp31C.odem;0;0;0;0;12
seemp31C.odem;4;2;3;2;1
seemp31C.odem;2;8;1;3;1
seemp31C.odem;2;8;1;3;1
seemp31C.odem;18;0;11;0;4
servletapi-2.363C.odem;41;0;17;0;13
servletapi-2.363C.odem;24;17;15;9;2
servletapi-2.363C.odem;5;15;4;4;6
servletapi-2.363C.odem;20;9;8;6;1
tinytim134C.odem;0;0;0;0;0
tinytim134C.odem;80;128;29;28;1
tinytim134C.odem;7;15;3;6;8
tinytim134C.odem;66;67;22;20;1
tinytim134C.odem;37;0;15;0;61
tinytim134C.odem;21;22;9;3;25
tinytim134C.odem;74;22;23;3;0
tinytim134C.odem;2;17;2;6;3
tinytim134C.odem;4;2;4;1;13
udt-java56C.odem;74;56;17;11;12
udt-java56C.odem;14;16;8;5;17
udt-java56C.odem;2;6;2;6;1
udt-java56C.odem;0;0;0;0;1
udt-java56C.odem;0;2;0;1;0
udt-java56C.odem;0;12;0;2;0
udt-java56C.odem;39;6;13;4;10
xmlapi184C.odem;12;22;4;3;0
xmlapi184C.odem;0;6;0;3;0
xmlapi184C.odem;24;0;9;0;10
xmlapi184C.odem;2;19;1;5;0
xmlapi184C.odem;0;2;0;2;1
xmlapi184C.odem;0;0;0;0;0
xmlapi184C.odem;44;0;17;0;29
xmlapi184C.odem;29;19;19;14;0
xmlapi184C.odem;10;4;7;4;0
