version	package	cbo	aff	eff	lcom	mf	cs
7.1.0	ch.randelshofer.quaqua	5	82	31	0.9916146351763038	0.8122717311906501	-32353
7.1.0	ch.randelshofer.quaqua.colorchooser	2	2	4	0.9753086419753086	0.9479768786127167	-3091
7.1.0	ch.randelshofer.quaqua.datatransfer	0	1	0	0.8	0.8	-2
7.1.0	ch.randelshofer.quaqua.ext.base64	0	3	0	0.3333333333333333	0.7272727272727273	1
7.1.0	ch.randelshofer.quaqua.ext.batik.ext.awt	0	1	0	0.8	0.9230769230769231	-5
7.1.0	ch.randelshofer.quaqua.ext.batik.ext.awt.image	3	9	10	0.906896551724138	0.8950276243093923	-325
7.1.0	ch.randelshofer.quaqua.ext.batik.ext.awt.image.codec.tiff	2	2	5	0.7857142857142857	0.6	-3
7.1.0	ch.randelshofer.quaqua.ext.batik.ext.awt.image.codec.util	1	6	1	0.75	0.6829268292682927	-6
7.1.0	ch.randelshofer.quaqua.ext.batik.ext.awt.image.renderable	0	1	0	NaN	0.0	0
7.1.0	ch.randelshofer.quaqua.ext.batik.ext.awt.image.rendered	2	2	7	0.895	0.8181818181818182	-190
7.1.0	ch.randelshofer.quaqua.ext.batik.i18n	0	1	0	0.6666666666666666	0.8	1
7.1.0	ch.randelshofer.quaqua.ext.batik.util	0	6	0	0.7678571428571429	0.7428571428571429	-12
7.1.0	ch.randelshofer.quaqua.ext.nanoxml	0	4	0	0.5	0.2222222222222222	1
7.1.0	ch.randelshofer.quaqua.filechooser	4	46	13	0.8866666666666667	0.5375494071146245	-194
7.1.0	ch.randelshofer.quaqua.jaguar	3	1	20	0.9283333333333333	0.6417910447761194	-252
7.1.0	ch.randelshofer.quaqua.jaguar.filechooser	1	0	1	-0.0	0.8	1
7.1.0	ch.randelshofer.quaqua.leopard	5	0	21	0.9276923076923077	0.5987261146496815	-271
7.1.0	ch.randelshofer.quaqua.leopard.filechooser	5	2	15	0.8583333333333333	0.6666666666666666	-76
