versions	author	classes	packages
4.8.0	alistair.a..israel	30	21
4.8.0	alistair.a..israel	1	1
4.8.0	alistair.a..israel	1	1
4.8.0	alistair.a..israel	2	2
4.8.0	david.saff	5	3
4.8.0	david.saff	4	2
4.8.0	alistair.a..israel	8	4
4.8.0	alistair.a..israel	1	1
4.8.0	alistair.a..israel	1	1
4.8.0	alistair.a..israel	5	4
4.8.0	watisdit	32	21
4.8.0	alistair.a..israel	2	2
4.8.0	david.saff	4	2
4.8.0	david.saff	5	3
4.8.0	david.saff	2	1
4.8.0	alistair.a..israel	2	1
4.8.0	david.saff	4	3
4.8.0	david.saff	15	10
4.8.0	david.saff	2	2
4.8.0	david.saff	4	2
4.8.1	david.saff	2	2
4.8.1	david.saff	3	2
4.9.0	david.saff	2	2
4.9.0	david.saff	3	2
4.9.0	david.saff	1	1
4.9.0	david.saff	2	2
4.9.0	david.saff	15	9
4.9.0	david.saff	24	16
4.9.0	david.saff	2	2
4.9.0	david.saff	2	2
4.9.0	david.saff	3	2
4.9.0	david.saff	1	1
4.9.0	david.saff	4	3
4.9.0	david.saff	3	3
4.9.0	david.saff	3	3
4.9.0	david.saff	8	6
4.9.0	david.saff	21	16
4.9.0	kristian.rosenvold	24	17
4.9.0	david.saff	2	2
4.9.0	david.saff	4	3
4.9.0	david.saff	8	5
4.9.0	david.saff	24	17
4.9.0	david.saff	5	3
4.9.0	david.saff	3	2
4.9.0	david.saff	1	1
4.9.0	david.saff	3	3
4.9.0	berin.loritsch	4	3
4.9.0	dsaff	3	2
4.9.0	dsaff	3	2
4.9.0	dsaff	26	17
4.9.0	dsaff	5	3
4.9.0	dsaff	2	1
4.9.0	dsaff	2	2
4.9.0	dsaff	3	2
4.9.0	dsaff	1	1
4.9.0	dsaff	1	1
4.9.0	dsaff	1	1
4.9.0	dsaff	37	21
4.9.0	dsaff	26	17
4.9.0	dsaff	5	3
4.9.0	berin.loritsch	1	1
4.9.0	dsaff	2	1
4.9.0	dsaff	2	2
4.9.0	dsaff	3	2
4.9.0	dsaff	1	1
4.9.0	dsaff	3	3
4.9.0	dsaff	2	2
4.9.0	alistair.a..israel	27	20
4.9.0	alistair.a..israel	1	1
4.9.0	alistair.a..israel	1	1
4.9.0	alistair.a..israel	1	1
4.9.0	alistair.a..israel	29	20
4.9.0	alistair.a..israel	1	1
