versions	package	cbo	aff	eff	lcom	mf	cs
4.10.0	org.junit.experimental.runners	2	0	2	NaN	0.0	0
4.10.0	org.junit.experimental.theories	5	5	9	0.8571428571428571	0.5652173913043478	-51
4.10.0	org.junit.experimental.theories.internal	2	4	9	0.7	0.36363636363636365	-2
4.10.0	org.junit.experimental.theories.suppliers	1	0	4	-0.0	0.5	1
4.10.0	org.junit.internal	4	13	9	0.9107142857142857	0.2631578947368421	-18
4.10.0	org.junit.internal.builders	7	3	11	0.875	0.34146341463414637	-14
4.10.0	org.junit.internal.matchers	2	5	8	0.8571428571428571	0.3	-11
4.10.0	org.junit.internal.requests	4	2	8	1.0	0.0	-6
4.10.0	org.junit.internal.runners	8	9	26	0.9093567251461988	0.4626865671641791	-123
4.10.0	org.junit.internal.runners.model	4	4	5	1.0	0.0	-3
4.10.0	org.junit.internal.runners.rules	3	2	6	NaN	0.0	0
4.10.0	org.junit.internal.runners.statements	2	3	4	0.9523809523809523	0.16	-19
4.10.0	org.junit.matchers	2	1	5	1.0	0.0	-1
4.10.0	org.junit.rules	8	3	15	0.9342105263157895	0.47619047619047616	-154
4.10.0	org.junit.runner	10	68	18	0.8333333333333334	0.29714285714285715	-36
4.10.0	org.junit.runner.manipulation	1	11	1	0.8333333333333334	0.46153846153846156	-27
4.10.0	org.junit.runner.notification	1	28	2	0.7115384615384616	0.6164383561643836	-6
4.10.0	org.junit.runners	12	9	39	0.9	0.3442622950819672	-79
4.10.0	org.junit.runners.model	4	59	7	0.9181818181818182	0.1487603305785124	-39
4.11.0	junit.extensions	1	1	6	0.8571428571428571	0.41379310344827586	-13
4.11.0	junit.framework	5	15	14	0.8529411764705882	0.5806451612903226	-75
4.11.0	junit.runner	1	3	4	1.0	0.0	-6
4.11.0	junit.textui	2	0	9	0.8333333333333334	0.13333333333333333	-1
4.11.0	org.junit	2	16	5	0.9714285714285714	0.2222222222222222	-97
4.11.0	org.junit.experimental	3	0	6	-0.0	0.3333333333333333	1
4.11.0	org.junit.experimental.categories	4	0	6	0.6	0.6666666666666666	0
4.11.0	org.junit.experimental.max	7	0	14	0.75	0.5384615384615384	-10
4.11.0	org.junit.experimental.results	3	0	6	0.7	0.6923076923076923	-3
4.11.0	org.junit.experimental.runners	2	0	2	NaN	0.0	0
