version	dependencyCount	cbo	aff	eff	mq	evm	lcom5
jedit-5.3.0	6710	5.8	39.371428571428574	24.742857142857144	15.910086821732225	-62730	0.8337865461013702
jedit-5.4.0	7015	6.0285714285714285	41.94285714285714	25.8	16.1535206102747	-66636	0.8410560591855737
jedit-5.5.0	7074	6.0285714285714285	42.142857142857146	25.857142857142858	16.172890725541908	-67543	0.8411801710414845
jhotdraw-5.2.0	997	4.0	25.636363636363637	24.181818181818183	2.737007480189439	-2427	0.8344931371127543
jhotdraw-5.3.0	1548	4.181818181818182	39.54545454545455	31.363636363636363	2.651722189950803	-6178	0.844897576154344
jhotdraw-5.4.1	2086	4.176470588235294	34.705882352941174	27.705882352941178	5.135490449714916	-9584	0.8312064118929892
jhotdraw-5.4.2	2175	4.176470588235294	35.411764705882355	28.11764705882353	5.314195203349364	-9855	0.8181720042378143
jhotdraw-6.0.1	2175	4.176470588235294	35.411764705882355	28.11764705882353	5.314195203349364	-9855	0.8181720042378143
jhotdraw-7.0.6	1500	2.1875	19.375	9.8125	5.6117780217384645	-10738	0.7829109662778221
jhotdraw-7.0.7	1574	2.1875	20.6875	10.1875	5.496454159474887	-11288	0.7856640827670438
jhotdraw-7.0.8	1763	2.3125	22.1875	11.25	6.2321205862935125	-13256	0.8230616049176295
jhotdraw-7.0.9	2082	2.5294117647058822	24.294117647058822	12.176470588235293	6.919949975154257	-18325	0.8114069327463774
jhotdraw-7.1.0	4051	2.276595744680851	15.957446808510639	8.957446808510639	25.509029424882453	-58300	0.7778362150476019
jhotdraw-7.2.0	2007	2.15	16.15	9.7	7.847888323485135	-19637	0.798795457117996
jhotdraw-7.3.0	4533	2.625	15.767857142857142	8.821428571428571	26.135391796871787	-61912	0.8340445884323203
jhotdraw-7.3.1	4543	2.642857142857143	15.821428571428571	8.857142857142858	26.216799857428803	-62106	0.8336023814344826
jhotdraw-7.4.1	4490	3.6615384615384614	19.184615384615384	10.892307692307693	25.991775079565322	-46068	0.8275881327342858
jhotdraw-7.5.1	4566	3.676470588235294	18.647058823529413	10.735294117647058	27.448144001661802	-45471	0.8113492664846311
jhotdraw-7.6.0	4533	3.5522388059701493	18.44776119402985	10.626865671641792	27.39997783468885	-45531	0.8086681737920525
jhotdraw-8.0.0	4533	3.5522388059701493	18.44776119402985	10.626865671641792	27.39997783468885	-45531	0.8086681737920525
