versions	package	cbo	aff	eff	lcom	mf	cs
4.3.3	org.gjt.sp.jedit.gui	15	106	72	0.9886172380193108	0.6337854500616523	-21852
4.3.3	org.gjt.sp.jedit.gui.statusbar	6	2	20	0.9435294117647058	0.7236180904522613	-1057
4.3.3	org.gjt.sp.jedit.help	6	2	20	0.9184873949579831	0.8185654008438819	-457
4.3.3	org.gjt.sp.jedit.indent	4	2	6	0.8809523809523809	0.7333333333333333	-147
4.3.3	org.gjt.sp.jedit.input	5	15	11	0.6666666666666666	0.17777777777777778	2
4.3.3	org.gjt.sp.jedit.io	6	75	30	0.9264367816091954	0.3657142857142857	-339
4.3.3	org.gjt.sp.jedit.menu	8	5	36	0.9408866995073891	0.4507042253521127	-342
4.3.3	org.gjt.sp.jedit.msg	4	41	11	0.9836601307189542	0.078125	-145
4.3.3	org.gjt.sp.jedit.options	10	6	57	0.9789518900343642	0.6332794830371568	-4404
4.3.3	org.gjt.sp.jedit.pluginmgr	8	5	29	0.9505030181086519	0.7522935779816514	-2131
4.3.3	org.gjt.sp.jedit.print	4	0	13	0.7	0.36363636363636365	-2
4.3.3	org.gjt.sp.jedit.proto.jeditresource	1	0	4	0.5	0.3333333333333333	1
4.3.3	org.gjt.sp.jedit.search	10	4	49	0.9505552617662613	0.6549912434325744	-1609
4.3.3	org.gjt.sp.jedit.syntax	2	38	8	0.8235294117647058	0.526829268292683	-59
4.3.3	org.gjt.sp.jedit.textarea	11	70	60	0.9460052677787533	0.6219974715549936	-1886
4.3.3	org.gjt.sp.jedit.visitors	2	8	3	0.6666666666666666	0.19047619047619047	1
4.3.3	org.gjt.sp.util	2	222	3	0.9476923076923077	0.16	-277
4.4.1	org.gjt.sp.jedit	21	464	143	0.9725204373091697	0.42081447963800905	-9315
4.4.1	org.gjt.sp.jedit.browser	8	15	60	0.9524061343204654	0.6060606060606061	-1643
4.4.1	org.gjt.sp.jedit.bsh	4	25	8	0.929564058633162	0.9548387096774194	-3871
4.4.1	org.gjt.sp.jedit.bsh.classpath	1	2	9	0.7756410256410257	0.8235294117647058	-26
4.4.1	org.gjt.sp.jedit.bsh.collection	1	1	3	0.5	0.2857142857142857	1
4.4.1	org.gjt.sp.jedit.bsh.commands	1	0	3	NaN	0.0	0
4.4.1	org.gjt.sp.jedit.bsh.org.objectweb.asm	0	1	0	0.8111111111111111	0.8717948717948718	-17
4.4.1	org.gjt.sp.jedit.bsh.reflect	1	1	1	NaN	0.0	0
4.4.1	org.gjt.sp.jedit.buffer	6	68	20	0.9206349206349206	0.4897959183673469	-292
4.4.1	org.gjt.sp.jedit.bufferio	4	3	22	0.8571428571428571	0.17582417582417584	-16
4.4.1	org.gjt.sp.jedit.bufferset	4	16	13	0.8095238095238095	0.5228758169934641	-49
4.4.1	org.gjt.sp.jedit.datatransfer	5	5	7	0.8888888888888888	0.42105263157894735	-20
4.4.1	org.gjt.sp.jedit.gui	16	105	83	0.9896839018808553	0.6439732142857143	-27156
4.4.1	org.gjt.sp.jedit.gui.statusbar	6	2	21	0.9435294117647058	0.7291139240506329	-1057
4.4.1	org.gjt.sp.jedit.help	6	2	20	0.9211711711711712	0.8267716535433071	-516
4.4.1	org.gjt.sp.jedit.indent	4	2	6	0.8809523809523809	0.7333333333333333	-147
4.4.1	org.gjt.sp.jedit.input	5	15	11	0.6666666666666666	0.17777777777777778	2
4.4.1	org.gjt.sp.jedit.io	6	69	30	0.9264367816091954	0.367816091954023	-339
4.4.1	org.gjt.sp.jedit.menu	8	5	35	0.9408866995073891	0.4444444444444444	-342
4.4.1	org.gjt.sp.jedit.msg	4	45	13	0.9836601307189542	0.07874015748031496	-145
4.4.1	org.gjt.sp.jedit.options	9	5	55	0.9795185400893031	0.6462480857580398	-4881
4.4.1	org.gjt.sp.jedit.pluginmgr	8	5	31	0.9494824016563147	0.7542503863987635	-2061
4.4.1	org.gjt.sp.jedit.print	4	0	13	0.7	0.36363636363636365	-2
4.4.1	org.gjt.sp.jedit.proto.jeditresource	1	0	4	0.5	0.3333333333333333	1
4.4.1	org.gjt.sp.jedit.search	10	4	50	0.9513568868407578	0.6518010291595198	-1667
4.4.1	org.gjt.sp.jedit.syntax	2	40	9	0.8235294117647058	0.5070422535211268	-59
4.4.1	org.gjt.sp.jedit.textarea	12	79	65	0.9472049689440993	0.6151990349819059	-2009
4.4.1	org.gjt.sp.jedit.visitors	2	16	3	0.6666666666666666	0.13793103448275862	1
4.4.1	org.gjt.sp.util	2	247	3	0.9519519519519519	0.23747680890538034	-572
4.4.2	org.gjt.sp.jedit	21	464	143	0.9724711907810499	0.42093373493975905	-9313
4.4.2	org.gjt.sp.jedit.browser	8	15	60	0.9524061343204654	0.6060606060606061	-1643
4.4.2	org.gjt.sp.jedit.bsh	4	25	8	0.929564058633162	0.9548387096774194	-3871
4.4.2	org.gjt.sp.jedit.bsh.classpath	1	2	9	0.7756410256410257	0.8235294117647058	-26
4.4.2	org.gjt.sp.jedit.bsh.collection	1	1	3	0.5	0.2857142857142857	1
4.4.2	org.gjt.sp.jedit.bsh.commands	1	0	3	NaN	0.0	0
4.4.2	org.gjt.sp.jedit.bsh.org.objectweb.asm	0	1	0	0.8111111111111111	0.8717948717948718	-17
4.4.2	org.gjt.sp.jedit.bsh.reflect	1	1	1	NaN	0.0	0
4.4.2	org.gjt.sp.jedit.buffer	6	68	20	0.9206349206349206	0.4897959183673469	-292
4.4.2	org.gjt.sp.jedit.bufferio	4	3	22	0.8571428571428571	0.17582417582417584	-16
4.4.2	org.gjt.sp.jedit.bufferset	5	16	15	0.8095238095238095	0.5161290322580645	-49
4.4.2	org.gjt.sp.jedit.datatransfer	5	5	7	0.8888888888888888	0.42105263157894735	-20
4.4.2	org.gjt.sp.jedit.gui	16	105	83	0.9896839018808553	0.6439732142857143	-27156
4.4.2	org.gjt.sp.jedit.gui.statusbar	7	2	22	0.9435294117647058	0.72544080604534	-1057
4.4.2	org.gjt.sp.jedit.help	6	2	20	0.9211711711711712	0.8267716535433071	-516
4.4.2	org.gjt.sp.jedit.indent	4	2	6	0.8809523809523809	0.7333333333333333	-147
4.4.2	org.gjt.sp.jedit.input	5	15	11	0.6666666666666666	0.17777777777777778	2
4.4.2	org.gjt.sp.jedit.io	6	70	30	0.9264367816091954	0.3657142857142857	-339
4.4.2	org.gjt.sp.jedit.menu	8	5	35	0.9408866995073891	0.4444444444444444	-342
4.4.2	org.gjt.sp.jedit.msg	4	45	13	0.9836601307189542	0.07874015748031496	-145
4.4.2	org.gjt.sp.jedit.options	9	5	55	0.9795185400893031	0.6462480857580398	-4881
4.4.2	org.gjt.sp.jedit.pluginmgr	8	5	31	0.9494824016563147	0.7542503863987635	-2061
4.4.2	org.gjt.sp.jedit.print	4	0	13	0.7	0.36363636363636365	-2
4.4.2	org.gjt.sp.jedit.proto.jeditresource	1	0	4	0.5	0.3333333333333333	1
4.4.2	org.gjt.sp.jedit.search	10	4	50	0.9513568868407578	0.6518010291595198	-1667
4.4.2	org.gjt.sp.jedit.syntax	2	41	9	0.8235294117647058	0.5046728971962616	-59
4.4.2	org.gjt.sp.jedit.textarea	12	79	65	0.9482897384305835	0.617046818727491	-2077
4.4.2	org.gjt.sp.jedit.visitors	2	16	3	0.6666666666666666	0.13793103448275862	1
4.4.2	org.gjt.sp.util	2	247	3	0.9519519519519519	0.23703703703703705	-572
4.5.0	org.gjt.sp.jedit	22	476	137	0.9723304365198282	0.4143605086013463	-9175
4.5.0	org.gjt.sp.jedit.browser	8	15	59	0.9513484928609202	0.5916398713826366	-1635
4.5.0	org.gjt.sp.jedit.bsh	4	25	8	0.929564058633162	0.9548387096774194	-3871
4.5.0	org.gjt.sp.jedit.bsh.classpath	1	2	9	0.7756410256410257	0.8235294117647058	-26
4.5.0	org.gjt.sp.jedit.bsh.collection	1	1	3	0.5	0.2857142857142857	1
4.5.0	org.gjt.sp.jedit.bsh.commands	1	0	3	NaN	0.0	0
4.5.0	org.gjt.sp.jedit.bsh.org.objectweb.asm	0	1	0	0.8111111111111111	0.8717948717948718	-17
4.5.0	org.gjt.sp.jedit.bsh.reflect	1	1	1	NaN	0.0	0
4.5.0	org.gjt.sp.jedit.buffer	6	71	22	0.9083333333333333	0.4661016949152542	-222
4.5.0	org.gjt.sp.jedit.bufferio	4	3	22	0.8571428571428571	0.17582417582417584	-16
4.5.0	org.gjt.sp.jedit.bufferset	5	16	15	0.8095238095238095	0.5161290322580645	-49
4.5.0	org.gjt.sp.jedit.datatransfer	5	5	7	0.8888888888888888	0.42105263157894735	-20
4.5.0	org.gjt.sp.jedit.gui	16	105	88	0.9897174059497217	0.6419479800774764	-27389
4.5.0	org.gjt.sp.jedit.gui.statusbar	8	2	32	0.9506957047791893	0.7133479212253829	-1407
4.5.0	org.gjt.sp.jedit.gui.tray	3	1	12	0.7888888888888889	0.6440677966101694	-19
4.5.0	org.gjt.sp.jedit.help	6	2	21	0.9211711711711712	0.8235294117647058	-516
4.5.0	org.gjt.sp.jedit.indent	4	2	6	0.8809523809523809	0.7333333333333333	-147
4.5.0	org.gjt.sp.jedit.input	5	14	11	0.6666666666666666	0.18181818181818182	2
